index,name,category,temporal_stat,description,source
71,mean_hsv_hist_S_bin7,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
72,mean_hsv_hist_S_bin8,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
73,mean_hsv_hist_S_bin9,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 9）,OpenCV calcHist
74,mean_hsv_hist_S_bin10,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 10）,OpenCV calcHist
75,mean_hsv_hist_S_bin11,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 11）,OpenCV calcHist
76,mean_hsv_hist_S_bin12,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 12）,OpenCV calcHist
77,mean_hsv_hist_S_bin13,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 13）,OpenCV calcHist
78,mean_hsv_hist_S_bin14,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 14）,OpenCV calcHist
79,mean_hsv_hist_S_bin15,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 15）,OpenCV calcHist
80,mean_hsv_hist_V_bin0,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
81,mean_hsv_hist_V_bin1,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
82,mean_hsv_hist_V_bin2,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
83,mean_hsv_hist_V_bin3,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
84,mean_hsv_hist_V_bin4,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
85,mean_hsv_hist_V_bin5,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
86,mean_hsv_hist_V_bin6,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
87,mean_hsv_hist_V_bin7,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
88,mean_hsv_hist_V_bin8,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
89,mean_hsv_hist_V_bin9,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 9）,OpenCV calcHist
90,mean_hsv_hist_V_bin10,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 10）,OpenCV calcHist
91,mean_hsv_hist_V_bin11,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 11）,OpenCV calcHist
92,mean_hsv_hist_V_bin12,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 12）,OpenCV calcHist
93,mean_hsv_hist_V_bin13,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 13）,OpenCV calcHist
94,mean_hsv_hist_V_bin14,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 14）,OpenCV calcHist
95,mean_hsv_hist_V_bin15,HSV Histogram,フレーム平均,フレーム平均: ValueチャンネルのHSVヒストグラム（bin 15）,OpenCV calcHist
96,mean_hu_moment_1,Hu Moments,フレーム平均,フレーム平均: Huモーメント 1: 回転・スケール・反転不変,OpenCV HuMoments
97,mean_hu_moment_2,Hu Moments,フレーム平均,フレーム平均: Huモーメント 2: 回転・スケール不変,OpenCV HuMoments
98,mean_hu_moment_3,Hu Moments,フレーム平均,フレーム平均: Huモーメント 3: 回転・スケール不変,OpenCV HuMoments
99,mean_hu_moment_4,Hu Moments,フレーム平均,フレーム平均: Huモーメント 4: 回転・スケール不変,OpenCV HuMoments
100,mean_hu_moment_5,Hu Moments,フレーム平均,フレーム平均: Huモーメント 5: 回転・スケール不変（符号反転あり）,OpenCV HuMoments
101,mean_hu_moment_6,Hu Moments,フレーム平均,フレーム平均: Huモーメント 6: 回転・スケール不変（符号反転あり）,OpenCV HuMoments
102,mean_hu_moment_7,Hu Moments,フレーム平均,フレーム平均: Huモーメント 7: 反転識別,OpenCV HuMoments
103,mean_glcm_contrast_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM コントラスト（局所的な輝度変化）のmean,scikit-image graycoprops
104,mean_glcm_contrast_std,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM コントラスト（局所的な輝度変化）のstd,scikit-image graycoprops
105,mean_glcm_dissimilarity_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM 非類似度（隣接ピクセルの差）のmean,scikit-image graycoprops
106,mean_glcm_dissimilarity_std,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM 非類似度（隣接ピクセルの差）のstd,scikit-image graycoprops
107,mean_glcm_homogeneity_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM 均質性（局所的な均一性）のmean,scikit-image graycoprops
108,mean_glcm_homogeneity_std,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM 均質性（局所的な均一性）のstd,scikit-image graycoprops
109,mean_glcm_energy_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM エネルギー（テクスチャの均一性）のmean,scikit-image graycoprops
110,mean_glcm_energy_std,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM エネルギー（テクスチャの均一性）のstd,scikit-image graycoprops
111,mean_glcm_correlation_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM 相関（線形依存性）のmean,scikit-image graycoprops
112,mean_glcm_correlation_std,GLCM (Gray Level Co-occurrence Matrix),フレーム平均,フレーム平均: GLCM 相関（線形依存性）のstd,scikit-image graycoprops
113,mean_lbp_hist_bin0,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 0）- テクスチャパターン,scikit-image local_binary_pattern
114,mean_lbp_hist_bin1,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 1）- テクスチャパターン,scikit-image local_binary_pattern
115,mean_lbp_hist_bin2,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 2）- テクスチャパターン,scikit-image local_binary_pattern
116,mean_lbp_hist_bin3,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 3）- テクスチャパターン,scikit-image local_binary_pattern
117,mean_lbp_hist_bin4,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 4）- テクスチャパターン,scikit-image local_binary_pattern
118,mean_lbp_hist_bin5,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 5）- テクスチャパターン,scikit-image local_binary_pattern
119,mean_lbp_hist_bin6,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 6）- テクスチャパターン,scikit-image local_binary_pattern
120,mean_lbp_hist_bin7,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 7）- テクスチャパターン,scikit-image local_binary_pattern
121,mean_lbp_hist_bin8,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 8）- テクスチャパターン,scikit-image local_binary_pattern
122,mean_lbp_hist_bin9,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 9）- テクスチャパターン,scikit-image local_binary_pattern
123,mean_lbp_hist_bin10,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 10）- テクスチャパターン,scikit-image local_binary_pattern
124,mean_lbp_hist_bin11,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 11）- テクスチャパターン,scikit-image local_binary_pattern
125,mean_lbp_hist_bin12,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 12）- テクスチャパターン,scikit-image local_binary_pattern
126,mean_lbp_hist_bin13,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 13）- テクスチャパターン,scikit-image local_binary_pattern
127,mean_lbp_hist_bin14,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 14）- テクスチャパターン,scikit-image local_binary_pattern
128,mean_lbp_hist_bin15,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 15）- テクスチャパターン,scikit-image local_binary_pattern
129,mean_lbp_hist_bin16,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 16）- テクスチャパターン,scikit-image local_binary_pattern
130,mean_lbp_hist_bin17,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 17）- テクスチャパターン,scikit-image local_binary_pattern
131,mean_lbp_hist_bin18,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 18）- テクスチャパターン,scikit-image local_binary_pattern
132,mean_lbp_hist_bin19,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 19）- テクスチャパターン,scikit-image local_binary_pattern
133,mean_lbp_hist_bin20,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 20）- テクスチャパターン,scikit-image local_binary_pattern
134,mean_lbp_hist_bin21,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 21）- テクスチャパターン,scikit-image local_binary_pattern
135,mean_lbp_hist_bin22,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 22）- テクスチャパターン,scikit-image local_binary_pattern
136,mean_lbp_hist_bin23,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 23）- テクスチャパターン,scikit-image local_binary_pattern
137,mean_lbp_hist_bin24,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 24）- テクスチャパターン,scikit-image local_binary_pattern
138,mean_lbp_hist_bin25,LBP (Local Binary Pattern),フレーム平均,フレーム平均: LBPヒストグラム（bin 25）- テクスチャパターン,scikit-image local_binary_pattern
139,mean_hog_mean,HOG (Histogram of Oriented Gradients),フレーム平均,フレーム平均: HOG特徴量の平均,scikit-image hog
140,mean_hog_std,HOG (Histogram of Oriented Gradients),フレーム平均,フレーム平均: HOG特徴量の標準偏差,scikit-image hog
141,mean_hog_max,HOG (Histogram of Oriented Gradients),フレーム平均,フレーム平均: HOG特徴量の最大値,scikit-image hog
142,mean_hog_min,HOG (Histogram of Oriented Gradients),フレーム平均,フレーム平均: HOG特徴量の最小値,scikit-image hog
143,mean_hog_p25,HOG (Histogram of Oriented Gradients),フレーム平均,フレーム平均: HOG特徴量の25パーセンタイル,scikit-image hog
144,mean_hog_p75,HOG (Histogram of Oriented Gradients),フレーム平均,フレーム平均: HOG特徴量の75パーセンタイル,scikit-image hog
145,mean_edge_density,Edge Features,フレーム平均,フレーム平均: Cannyエッジ検出による密度,OpenCV Canny/Sobel
146,mean_gradient_magnitude_mean,Edge Features,フレーム平均,フレーム平均: Sobel勾配強度の平均,OpenCV Canny/Sobel
