removed_index,removed_name,correlated_with_index,correlated_with_name,correlation
658,temporal_std_glcm_contrast_mean,473,temporal_mean_glcm_contrast_mean,0.9843224466142843
602,temporal_std_color_hist_B_bin15,417,temporal_mean_color_hist_B_bin15,0.9833897189666417
674,temporal_std_lbp_hist_bin6,489,temporal_mean_lbp_hist_bin6,0.983165266552696
586,temporal_std_color_hist_G_bin15,401,temporal_mean_color_hist_G_bin15,0.9829185658925749
733,temporal_std_spatial_variance_x,548,temporal_mean_spatial_variance_x,0.982738957650193
657,temporal_std_hu_moment_7,472,temporal_mean_hu_moment_7,0.9824778738773555
732,temporal_std_spatial_centroid_y,547,temporal_mean_spatial_centroid_y,0.9824032704508652
722,temporal_std_stat_gray_mean,537,temporal_mean_stat_gray_mean,0.9820934803717074
555,temporal_std_color_hist_R_bin0,370,temporal_mean_color_hist_R_bin0,0.9817734927146178
289,std_glcm_contrast_std,288,std_glcm_contrast_mean,0.9814605656074805
695,temporal_std_hog_std,510,temporal_mean_hog_std,0.981087875139254
587,temporal_std_color_hist_B_bin0,402,temporal_mean_color_hist_B_bin0,0.9809741497999638
667,temporal_std_glcm_correlation_std,482,temporal_mean_glcm_correlation_std,0.9807814132831278
726,temporal_std_fft_low_freq_ratio,541,temporal_mean_fft_low_freq_ratio,0.9804530774500009
679,temporal_std_lbp_hist_bin11,309,std_lbp_hist_bin11,0.9803082296775445
734,temporal_std_spatial_variance_y,549,temporal_mean_spatial_variance_y,0.9799255159100823
