filename,c1,c2,c3,alpha,cluster,PC1,PC2,PC3
Swarm-c1_1.00-c2_1.50-c3_1.50-alpha_1.50.gif,1.0,1.5,1.5,1.5,4,16.024424488633016,5.716272571221009,-5.488475087160387
Swarm-c1_1.00-c2_1.50-c3_1.50-alpha_2.00.gif,1.0,1.5,1.5,2.0,7,20.05655289167559,-6.838794311237776,-5.08073026084906
Swarm-c1_1.00-c2_1.50-c3_1.50-alpha_2.50.gif,1.0,1.5,1.5,2.5,6,14.718550056104991,-9.846225359382757,2.949187279544046
Swarm-c1_1.00-c2_1.50-c3_1.50-alpha_3.00.gif,1.0,1.5,1.5,3.0,6,12.021999601954773,-9.096312383418569,2.5214618656304757
Swarm-c1_1.00-c2_1.50-c3_2.00-alpha_1.00.gif,1.0,1.5,2.0,1.0,5,2.325947411621854,14.442263537100755,-6.402453616318565
Swarm-c1_1.00-c2_1.50-c3_2.00-alpha_1.50.gif,1.0,1.5,2.0,1.5,4,14.084425618226668,5.22654904414053,-9.958843414860755
Swarm-c1_1.00-c2_1.50-c3_2.00-alpha_2.00.gif,1.0,1.5,2.0,2.0,4,25.540568401937,-1.8025951132596194,-2.1277201988057923
Swarm-c1_1.00-c2_1.50-c3_2.00-alpha_2.50.gif,1.0,1.5,2.0,2.5,6,15.305076672660778,-9.677858979985137,1.3600832185719007
Swarm-c1_1.00-c2_1.50-c3_2.00-alpha_3.00.gif,1.0,1.5,2.0,3.0,7,17.873119487700645,-10.834111686934989,6.28885210010563
Swarm-c1_1.00-c2_1.50-c3_2.50-alpha_1.00.gif,1.0,1.5,2.5,1.0,5,7.681923066305072,11.814198337257828,-1.1852491844004427
Swarm-c1_1.00-c2_1.50-c3_2.50-alpha_1.50.gif,1.0,1.5,2.5,1.5,4,25.761401520824716,6.726708274343749,-8.573291085381715
Swarm-c1_1.00-c2_1.50-c3_2.50-alpha_2.00.gif,1.0,1.5,2.5,2.0,7,22.95277478473036,-6.698858171645735,-2.0167479163888546
Swarm-c1_1.00-c2_1.50-c3_2.50-alpha_2.50.gif,1.0,1.5,2.5,2.5,7,19.854980174859094,-7.797595483362783,6.0202359854688625
Swarm-c1_1.00-c2_1.50-c3_2.50-alpha_3.00.gif,1.0,1.5,2.5,3.0,6,10.269879625086366,-9.443082915712397,3.0342652724282724
Swarm-c1_1.00-c2_1.50-c3_3.00-alpha_1.00.gif,1.0,1.5,3.0,1.0,4,22.11454023959053,12.091510351078375,-4.6800831129465195
Swarm-c1_1.00-c2_1.50-c3_3.00-alpha_1.50.gif,1.0,1.5,3.0,1.5,4,19.270777869635065,2.8224085295794636,-5.671818795165909
Swarm-c1_1.00-c2_1.50-c3_3.00-alpha_2.00.gif,1.0,1.5,3.0,2.0,7,20.736629916989298,-5.172864102308831,-5.707745601048745
